id;uuid;code;notes
1;e5e3f3f6-95b3-4db7-b0c3-09ce3f814a78;meh fervently like;exhausted ouch
2;ee4c2683-5925-4146-a8a7-152aff588017;basis behind;olive abaft ponder
3;c57903da-a1ff-4e50-9b16-339dd3aac557;duh whether;lazily instead nor
4;05d1c2bf-dd18-490c-aa1e-0e42c88a9b4e;bore whoa eek;microwave
5;0d568897-815a-4983-a025-375a1810a1f5;down insistent embody;across yahoo
6;03633adc-9746-427c-9e4d-eb943e056540;safely until sudden;however intensely
7;93547f22-56af-45bc-9ab7-453fe0f53566;squiggly;of
8;457c8521-4ea3-42d7-ba2e-6c47199489bc;convict palatable hatchling;intimate
9;e0c34ef8-f8bc-4017-8543-e8e6c0bcec1c;whether tipple;withdrawal lazily
10;aad67f32-7744-497f-ad5a-0cf443a14777;insectarium;nearly fondly
