id;uuid;code;description;price;quantity
1;bf704148-6304-45cd-b5e5-064b4c464c62;before smooth too;so where um;2114.24;2259
2;c1158ecf-cd08-436a-bc95-03e40d205c3f;liquefy;till defiant kindly;2721.51;17665
3;913a5991-115e-43a9-b1c7-df84cf284142;defiantly before brave;well-informed;1452.63;32389
4;12d6036f-d881-42fb-8358-01d2b8c90db3;once until but;unless;16806.09;12666
5;87fb9a10-0a39-4522-8c28-d663c9e7ca3f;swift though;after tog;22768.14;3990
6;17e1ac21-90b1-4d03-89e0-38d1e12ef6af;futon;a untried metabolise;10792.9;2841
7;f03389ce-c51d-4bd3-a2f5-beff476dbf59;though sparkling;authentic;27702.42;16658
8;0c05925f-5b41-486f-a53d-e98a48d418a5;cork promptly zowie;upset swiftly;15372.19;7582
9;f8e7bae7-95bf-44bc-8ed1-17db7552a081;lessen;relieved;7276.3;23404
10;9157b25a-dc3a-4fd5-8a18-90271df4b688;whether usefully;reassuringly so sternly;26003.25;23903
