id;uuid;code;price;discount
1;19461b84-c8ec-433a-9f0a-77c4efb1f2d0;void dry;17083;23637.74
2;297b9840-3982-400f-8636-4229a2f1008a;rudiment;10389.65;7017.66
3;76648d43-25d2-4379-a72a-75b0c2599eb0;offset even little;28279.36;31214.41
4;1146b03c-8d65-4dc6-917d-caea69bae7c3;curiosity astrologer psst;12376.84;18120.34
5;5aafb07c-7b45-4e9b-91d4-babb1c6e9720;anenst phooey quadrant;383.97;3447.04
6;f90ba7fb-b5fa-43ee-87da-63ae8e8b1670;onto indeed;37.77;29572.67
7;05fe0f1d-3c4a-4c05-a35c-5b5e4dca06be;potentially;8891.43;23241.46
8;18f68fdb-79ae-4ffc-8563-eba5bcd2e04d;finally;25576.75;1832.89
9;5c050531-ac26-49a4-bb5f-456cd36aa753;graffiti likewise;26873.58;24671.51
10;e33bbe6d-d238-4a63-93d5-34d93b94e61e;jealously smoothly ha;20564.51;26723.67
