id;uuid;code;price;discount
1;a5fe49b0-1aef-4889-9bf7-7c3858b4ca25;circa when;26754.52;10461.64
2;1235861e-188e-4831-b6ef-0c29a62f0bd1;saddle soon;12440.19;14577.19
3;25702c80-7f16-40a0-b857-f628b3413ddc;finance;17879.09;7610.24
4;d22f380f-7395-405d-b460-0ddd4d54e283;so;30291;7038.18
5;81cabd8b-8ceb-4b8a-a8c6-240e523e5b02;above noxious abaft;818.34;32371.47
6;b1657182-cab2-428a-b0f6-a46df195513a;inside ha flake;29181.58;19924.64
7;8fd06556-c05b-439e-9e19-bf5052620dd8;near meanwhile;28323.14;25345.86
8;fbcc0881-42b3-48a4-83e5-716e92125fc3;next;30807.31;26619.7
9;154597f5-9e82-4d95-9f17-6019ee21884f;apud what;4385.4;9895.05
10;b45b1ac8-e520-4378-868c-54cfce83cea8;cumbersome crush;27214.37;4510.35
