id;uuid;code;price;discount
1;ac9a3565-0bb8-49b1-b321-d0e0558c5444;via following drat;10367.84;22320.24
2;a1e2a387-dc4d-44da-8934-1fc607e79c80;instead;11350.68;962.63
3;a2c73183-87e6-4f27-8a0a-d829c65d4c85;ick yahoo several;25937.69;27126.59
4;25e2f12e-eff8-40bd-b29b-aade46b21394;unlike;10822.28;11202.84
5;dba44724-e60d-4939-819d-d3b0b5d41618;weakly skinny;18914.87;1428.88
6;b1c7a910-f751-4bda-9e4b-89658691f6b2;mockingly curiously robust;3922.11;1816.34
7;58c2503c-77c5-4fc9-a507-5c953aa3e4ba;aw outrageous;16474.75;11871.06
8;c323f405-c15f-49b5-b2ba-c3cb3750edbb;protrude equally towards;28704.92;20161.6
9;e578a686-c41c-4a39-a52e-d30169cb3b94;below spotless;24004.91;16263.19
10;16436d0b-4d59-4ba6-ab9b-df22a87a5cf4;foreshorten slushy before;31684.9;20581.94
